symbol,date,pattern_name,pattern_direction,price_at_pattern,forward_1d_return,forward_5d_return,forward_10d_return,forward_20d_return,backward_1d_return,backward_5d_return
ABLV,2025-06-16,doji,Bullish,1.07,0.028037383177570117,-0.028037383177570117,-0.0654205607476636,-0.028037383177570117,-0.04035874439461877,-0.10084033613445369
ABLV,2025-06-23,doji,Bullish,1.01,0.02970297029702973,-0.009801980198019821,-0.15445544554455448,0.06930693069306937,-0.019417475728155355,-0.09417040358744393
ABLV,2025-07-10,doji,Bullish,0.853,0.016529894490035172,0.2192262602579133,0.2545134818288395,,-0.001170960187353631,-0.14700000000000002
ABLV,2025-07-11,hammer,Bullish,0.8671,0.05408834044516209,0.22246569023180726,0.2570637758044056,,0.016529894490035172,-0.11790437436419125
ABLV,2025-07-16,doji,Bullish,1.02,0.01960784313725492,0.058823529411764754,0.042352941176470496,,-0.019230769230769246,0.19437939110070263
ABLV,2025-07-17,shooting_star,Bearish,1.04,0.019230769230769246,0.028942307692307705,-0.03846153846153849,,0.01960784313725492,0.2192262602579133
ABLV,2025-07-24,doji,Bullish,1.0701,0.018596392860480353,-0.06550789645827497,,,-0.009166666666666684,0.028942307692307705
ABLV,2025-07-31,shooting_star,Bearish,1.0,,,,,-0.059443190368698204,-0.06550789645827497
ABLV,2025-06-12,bearish_engulfing,Bearish,1.08,0.03240740740740733,-0.046296296296296335,-0.0555555555555556,-0.03703703703703707,-0.12195121951219505,-0.10743801652892554
ABLV,2025-07-23,bearish_engulfing,Bearish,1.08,-0.009166666666666684,-0.015555555555555692,,,-0.035111230233181356,0.058823529411764754
ABM,2025-06-09,doji,Bearish,48.25,-0.00932642487046638,-0.07025906735751297,-0.06652849740932644,0.012849740932642434,0.03518558249302726,-0.07531621310847067
ABM,2025-06-24,doji,Bearish,45.04,-0.013099467140319634,0.05506216696269991,0.08503552397868558,0.06771758436944947,0.008057296329453881,0.004012483281319655
ABM,2025-07-02,doji,Bearish,48.28,-0.007249378624689342,0.016570008285004083,0.002899751449875737,-0.044531897265948604,0.01599326599326595,0.08616422947131604
ABM,2025-07-11,doji,Bullish,48.72,0.01580459770114949,-0.020525451559934318,-0.020935960591132924,,-0.007334963325183363,0.016482370123096165
ABM,2025-07-21,shooting_star,Bearish,47.51,0.007577352136392327,-0.008419280151547014,,,-0.004400670578373865,-0.04000808244089723
ABM,2025-07-23,doji,Bearish,48.09,-0.011852776044915789,-0.033478893740902606,,,0.004595780238145101,-0.0006234413965086041
ABM,2025-07-25,hammer,Bullish,47.7,-0.012368972746331308,,,,0.0037878787878787815,-0.00041911148365456877
ABM,2025-07-07,bullish_engulfing,Bullish,48.22,-0.012442969722107039,0.026337619245126568,-0.014724180837826647,,0.006050490298351746,0.039672272531263396
ABM,2025-07-14,bullish_engulfing,Bullish,49.49,-0.03232976358860379,-0.04000808244089723,-0.04809052333804814,,0.01580459770114949,0.026337619245126568
ABM,2025-07-18,bearish_engulfing,Bearish,47.72,-0.004400670578373865,-0.00041911148365456877,,,-0.014456836018174365,-0.020525451559934318
ABNB,2025-06-06,shooting_star,Bearish,140.64,-0.011589874857792915,-0.03626279863481225,-0.07188566552901014,-0.02595278725824785,0.024400903197610856,
ABNB,2025-06-23,hammer,Bullish,130.53,0.012410940013789968,0.013866544089481363,0.04949053857350807,0.06818355933501881,-0.009109542245502079,-0.036963258078795865
ABNB,2025-06-24,doji,Bearish,132.15,-0.018766553159288824,0.02466893681422619,0.03556564510026476,0.05811577752553921,0.012410940013789968,-0.036877778587566516
ABNB,2025-06-27,hammer,Bullish,134.52,-0.016205768658935523,0.01843592030924762,0.030107047279214857,0.0567945286946178,0.005982650314089227,0.021179685720792686
ABNB,2025-07-02,doji,Bullish,135.39,0.008124676859443259,0.011891572494275898,0.028879533200384264,-0.022010488219218482,-0.00014769957905627526,0.044111976555872595
ABNB,2025-07-03,shooting_star,Bearish,136.49,0.003736537475272847,-0.008352260238845444,0.020880650597113297,,0.008124676859443259,0.020714926712533728
ABNB,2025-07-10,doji,Bearish,137.0,-0.012043795620437997,0.016788321167883296,0.03372262773722631,,0.001096090610157148,0.011891572494275898
ABNB,2025-06-09,bearish_engulfing,Bearish,139.01,-0.0032371771814976523,-0.012948708725990814,-0.04934896770016535,-0.0155384504711891,-0.011589874857792915,0.07244252430180517
ABNB,2025-06-25,bearish_engulfing,Bearish,129.67,0.031233130253721073,0.044111976555872595,0.05652810981722845,0.0921570139585102,-0.018766553159288824,-0.027742370848016923
ABNB,2025-06-30,bearish_engulfing,Bearish,132.34,0.0231978237872147,0.0351367689285175,0.031736436451564064,0.03400332476953302,-0.016205768658935523,0.013866544089481363
ABNB,2025-07-01,bullish_engulfing,Bullish,135.41,-0.00014769957905627526,0.01063436969204636,0.009600472638653063,-0.004874086108854565,0.0231978237872147,0.02466893681422619
ABNB,2025-07-14,bullish_engulfing,Bullish,138.57,-0.014649635563253239,-0.0036082846214909436,0.025907483582304998,,0.02379017362393793,0.011459854014598491
ABNB,2025-07-29,bearish_engulfing,Bearish,136.84,-0.015273311897106134,,,,-0.03742262239729877,-0.018575629348059983
ABNY,2025-06-20,hammer,Bullish,11.86,-0.010118043844856596,-0.02202360876897123,-0.009274873524451891,0.011804384485666152,0.0008438818565400664,-0.03597613512590839
